Tanggal Penjualan,ID Produk,Nama Produk,Kategori,Jumlah Terjual,Harga Satuan,Total Penjualan,HPP Satuan,Total HPP,Profit,Margin (%),Period Status
2023-01-10,100,Senter LED Waterproof,Elektronik,2,30000,60000,20000,40000,20000,33.33,Normal
2023-01-10,78,Pembersih Lantai Cair,Kebersihan,4,20000,80000,14000,56000,24000,30.0,Normal
2023-01-10,70,Lampu Emergency,Elektronik,1,35000,35000,23000,23000,12000,34.29,Normal
2023-01-10,77,Baterai AA isi 4pcs,Sembako,3,25000,75000,18000,54000,21000,28.0,Normal
2023-01-11,117,Power Extension 6 Outlet,Aksesori Umum,1,65000,65000,45000,45000,20000,30.77,Normal
2023-01-11,81,Shampoo Botol,Kecantikan & Perawatan,3,25000,75000,17000,51000,24000,32.0,Normal
2023-01-11,20,Termos Air Panas,Perlengkapan Rumah,1,35000,35000,23000,23000,12000,34.29,Normal
2023-01-11,36,Kacamata Hitam Fashion,Clothing & Fashion,1,40000,40000,29000,29000,11000,27.5,Normal
2023-01-11,92,Oximeter,Kesehatan,1,130000,130000,95000,95000,35000,26.92,Normal
2023-01-11,88,Lip Balm,Kecantikan & Perawatan,6,12000,72000,8000,48000,24000,33.33,Normal
2023-01-11,100,Senter LED Waterproof,Elektronik,2,30000,60000,20000,40000,20000,33.33,Normal
2023-01-12,33,Kemeja Katun Slim Fit,Clothing & Fashion,1,65000,65000,48000,48000,17000,26.15,Normal
2023-01-12,65,Matras Yoga,Edukasi & Hobi,1,45000,45000,32000,32000,13000,28.89,Normal
2023-01-12,99,Speaker Mini Bluetooth,Elektronik,1,50000,50000,35000,35000,15000,30.0,Normal
2023-01-12,113,Tas Selempang Simple,Aksesori Umum,1,45000,45000,33000,33000,12000,26.67,Normal
2023-01-13,2,Power Bank 2000mAh,Elektronik,1,35000,35000,25000,25000,10000,28.57,Normal
2023-01-13,48,Power Bank 10000mAh,Elektronik,1,90000,90000,59000,59000,31000,34.44,Normal
2023-01-13,60,Tempat Bumbu Dapur,Alat Rumah Tangga,3,18000,54000,13000,39000,15000,27.78,Normal
2023-01-13,50,Router WiFi Portabel,Elektronik,1,160000,160000,117000,117000,43000,26.88,Normal
2023-01-13,98,Kipas Angin DC,Elektronik,1,40000,40000,28000,28000,12000,30.0,Normal
2023-01-13,115,USB Flashdisk 32GB,Aksesori Umum,1,50000,50000,36000,36000,14000,28.0,Normal
2023-01-13,12,Gantungan Baju Plastik,Perlengkapan Rumah,31,2500,77500,1000,31000,46500,60.0,Normal
2023-01-13,70,Lampu Emergency,Elektronik,1,35000,35000,23000,23000,12000,34.29,Normal
2023-01-13,25,Gantungan Kunci Lucu,Aksesori Umum,17,5000,85000,3000,51000,34000,40.0,Normal
2023-01-14,86,Parfum Roll On,Kecantikan & Perawatan,2,15000,30000,10000,20000,10000,33.33,Normal
2023-01-14,113,Tas Selempang Simple,Aksesori Umum,1,45000,45000,30000,30000,15000,33.33,Normal
2023-01-14,43,Mouse Wireless,Elektronik,1,30000,30000,21000,21000,9000,30.0,Normal
2023-01-14,90,Masker Medis 50pcs,Kesehatan,1,25000,25000,16000,16000,9000,36.0,Normal
2023-01-14,84,Masker Wajah Sheet,Kecantikan & Perawatan,3,8000,24000,5000,15000,9000,37.5,Normal
2023-01-15,112,Holder HP Mobil,Aksesori Umum,1,20000,20000,13000,13000,7000,35.0,Normal
2023-01-15,39,Tenda Lipat 2 Orang,Outdoor & Travel,1,160000,160000,117000,117000,43000,26.88,Normal
2023-01-15,13,Tempat Makan Plastik,Perlengkapan Rumah,2,10000,20000,6000,12000,8000,40.0,Normal
2023-01-15,10,Panci Teflon 20cm,Alat Rumah Tangga,1,65000,65000,45000,45000,20000,30.77,Normal
2023-01-15,9,Kipas Angin USB,Elektronik,1,25000,25000,17000,17000,8000,32.0,Normal
2023-01-15,59,Panci Stainless 24cm,Alat Rumah Tangga,1,85000,85000,59000,59000,26000,30.59,Normal
2023-01-15,26,Jam Alarm Meja,Elektronik,1,18000,18000,12000,12000,6000,33.33,Normal
2023-01-16,95,Bandana Couple,Clothing & Fashion,5,15000,75000,10000,50000,25000,33.33,Normal
2023-01-16,111,Casing HP Softcase,Aksesori Umum,4,15000,60000,10000,40000,20000,33.33,Normal
2023-01-16,28,Sikat Lantai Otomatis,Alat Rumah Tangga,1,40000,40000,26000,26000,14000,35.0,Normal
2023-01-16,74,Sarung Baju Jas,Hanger & Penyimpanan,5,12000,60000,8000,40000,20000,33.33,Normal
2023-01-16,84,Masker Wajah Sheet,Kecantikan & Perawatan,11,8000,88000,5000,55000,33000,37.5,Normal
2023-01-16,94,Minyak Kayu Putih,Obat Tradisional,8,10000,80000,7000,56000,24000,30.0,Normal
2023-01-17,44,Keyboard Mechanical,Elektronik,1,150000,150000,107000,107000,43000,28.67,Normal
2023-01-17,58,Dispenser Galon Atas,Alat Rumah Tangga,1,120000,120000,86000,86000,34000,28.33,Normal
2023-01-17,24,Payung Lipat Transparan,Aksesori Umum,3,25000,75000,18000,54000,21000,28.0,Normal
2023-01-17,58,Dispenser Galon Atas,Alat Rumah Tangga,1,120000,120000,84000,84000,36000,30.0,Normal
2023-01-17,15,Meja Lipat Mini,Furniture Ringan,1,85000,85000,55000,55000,30000,35.29,Normal
2023-01-17,18,Dispenser Air Manual,Alat Rumah Tangga,1,150000,150000,98000,98000,52000,34.67,Normal
2023-01-18,91,Thermometer Digital,Kesehatan,1,50000,50000,36000,36000,14000,28.0,Normal
2023-01-18,97,Kasur Karpet Lipat,Home & Living,1,90000,90000,65000,65000,25000,27.78,Normal
2023-01-18,74,Sarung Baju Jas,Hanger & Penyimpanan,7,12000,84000,8000,56000,28000,33.33,Normal
2023-01-18,51,Bola Lampu LED 10W,Elektronik,4,20000,80000,14000,56000,24000,30.0,Normal
2023-01-18,27,Penampung Sampah Rumah,Perlengkapan Rumah,3,22000,66000,15000,45000,21000,31.82,Normal
2023-01-18,26,Jam Alarm Meja,Elektronik,4,18000,72000,12000,48000,24000,33.33,Normal
2023-01-18,82,Kondisioner Rambut,Kecantikan & Perawatan,3,25000,75000,17000,51000,24000,32.0,Normal
2023-01-18,56,Kotak Perhiasan Kayu,Perlengkapan Rumah,1,35000,35000,24000,24000,11000,31.43,Normal
2023-01-19,4,Speaker Mini Bluetooth,Elektronik,1,60000,60000,40000,40000,20000,33.33,Normal
2023-01-19,17,Kipas Angin Standing,Elektronik,1,120000,120000,85000,85000,35000,29.17,Normal
2023-01-19,55,Payung Golf Besar,Aksesori Umum,2,30000,60000,21000,42000,18000,30.0,Normal
2023-01-19,119,Box Makanan 600ml,Perlengkapan Rumah,8,10000,80000,7000,56000,24000,30.0,Normal
2023-01-19,107,Hiasan Dinding Minimalis,Home & Living,2,30000,60000,22000,44000,16000,26.67,Normal
2023-01-20,56,Kotak Perhiasan Kayu,Perlengkapan Rumah,1,35000,35000,23000,23000,12000,34.29,Normal
2023-01-20,50,Router WiFi Portabel,Elektronik,1,160000,160000,119000,119000,41000,25.62,Normal
2023-01-20,29,Sabun Cuci Piring Cair,Sembako,6,12000,72000,8000,48000,24000,33.33,Normal
2023-01-20,12,Gantungan Baju Plastik,Perlengkapan Rumah,36,2500,90000,1000,36000,54000,60.0,Normal
2023-01-21,19,Magic Com Mini,Alat Rumah Tangga,1,130000,130000,95000,95000,35000,26.92,Normal
2023-01-21,120,Baskom Plastik 10L,Alat Rumah Tangga,1,25000,25000,18000,18000,7000,28.0,Normal
2023-01-21,10,Panci Teflon 20cm,Alat Rumah Tangga,1,65000,65000,47000,47000,18000,27.69,Normal
2023-01-21,19,Magic Com Mini,Alat Rumah Tangga,1,130000,130000,95000,95000,35000,26.92,Normal
2023-01-21,61,Piring Plastik Set 10pcs,Perlengkapan Rumah,1,25000,25000,17000,17000,8000,32.0,Normal
2023-01-21,74,Sarung Baju Jas,Hanger & Penyimpanan,2,12000,24000,8000,16000,8000,33.33,Normal
2023-01-21,6,Rice Cooker Mini,Alat Rumah Tangga,1,90000,90000,63000,63000,27000,30.0,Normal
2023-01-21,105,Tempat Tisu Meja,Home & Living,3,12000,36000,8000,24000,12000,33.33,Normal
2023-01-22,4,Speaker Mini Bluetooth,Elektronik,1,60000,60000,42000,42000,18000,30.0,Normal
2023-01-22,25,Gantungan Kunci Lucu,Aksesori Umum,8,5000,40000,3000,24000,16000,40.0,Normal
2023-01-22,120,Baskom Plastik 10L,Alat Rumah Tangga,1,25000,25000,18000,18000,7000,28.0,Normal
2023-01-22,77,Baterai AA isi 4pcs,Sembako,1,25000,25000,17000,17000,8000,32.0,Normal
2023-01-22,97,Kasur Karpet Lipat,Home & Living,1,90000,90000,59000,59000,31000,34.44,Normal
2023-01-22,15,Meja Lipat Mini,Furniture Ringan,1,85000,85000,57000,57000,28000,32.94,Normal
2023-01-22,118,Colokan Timer,Aksesori Umum,1,40000,40000,27000,27000,13000,32.5,Normal
2023-01-22,1,Lampu LED 5W,Elektronik,1,15000,15000,11000,11000,4000,26.67,Normal
2023-01-23,20,Termos Air Panas,Perlengkapan Rumah,1,35000,35000,25000,25000,10000,28.57,Normal
2023-01-23,63,Benih Cabe Djitu,Perlengkapan Rumah,1,130000,130000,97000,97000,33000,25.38,Normal
2023-01-23,92,Oximeter,Kesehatan,1,130000,130000,92000,92000,38000,29.23,Normal
2023-01-23,87,Pensil Alis,Kecantikan & Perawatan,6,10000,60000,6000,36000,24000,40.0,Normal
2023-01-23,10,Panci Teflon 20cm,Alat Rumah Tangga,1,65000,65000,48000,48000,17000,26.15,Normal
2023-01-24,56,Kotak Perhiasan Kayu,Perlengkapan Rumah,1,35000,35000,24000,24000,11000,31.43,Normal
2023-01-24,91,Thermometer Digital,Kesehatan,1,50000,50000,36000,36000,14000,28.0,Normal
2023-01-24,35,Topi Baseball,Clothing & Fashion,4,15000,60000,9000,36000,24000,40.0,Normal
2023-01-24,4,Speaker Mini Bluetooth,Elektronik,1,60000,60000,43000,43000,17000,28.33,Normal
2023-01-24,73,Remote Universal,Elektronik,4,15000,60000,10000,40000,20000,33.33,Normal
2023-01-24,3,Charger USB-C,Elektronik,3,20000,60000,13000,39000,21000,35.0,Normal
2023-01-25,104,Tirai Gorden Jendela,Home & Living,1,75000,75000,49000,49000,26000,34.67,Normal
2023-01-25,75,Hanger Plastik 10pcs,Hanger & Penyimpanan,3,20000,60000,13000,39000,21000,35.0,Normal
2023-01-25,78,Pembersih Lantai Cair,Kebersihan,4,20000,80000,14000,56000,24000,30.0,Normal
2023-01-25,111,Casing HP Softcase,Aksesori Umum,5,15000,75000,9000,45000,30000,40.0,Normal
2023-01-25,93,Vitamin C 1000mg,Kesehatan,4,20000,80000,14000,56000,24000,30.0,Normal
2023-01-25,79,Pewangi Ruangan,Kecantikan & Perawatan,4,15000,60000,11000,44000,16000,26.67,Normal
2023-01-25,17,Kipas Angin Standing,Elektronik,1,120000,120000,83000,83000,37000,30.83,Normal
2023-01-25,49,Flashdisk 64GB,Elektronik,1,120000,120000,89000,89000,31000,25.83,Normal
2023-01-26,40,Kantong Sleeping Bag,Outdoor & Travel,1,75000,75000,50000,50000,25000,33.33,Normal
2023-01-26,7,Setrika Mini,Alat Rumah Tangga,1,50000,50000,35000,35000,15000,30.0,Normal
2023-01-26,25,Gantungan Kunci Lucu,Aksesori Umum,15,5000,75000,3000,45000,30000,40.0,Normal
2023-01-26,70,Lampu Emergency,Elektronik,1,35000,35000,26000,26000,9000,25.71,Normal
2023-01-27,20,Termos Air Panas,Perlengkapan Rumah,1,35000,35000,23000,23000,12000,34.29,Normal
2023-01-27,9,Kipas Angin USB,Elektronik,3,25000,75000,16000,48000,27000,36.0,Normal
2023-01-27,22,Kotak Bekal Makanan,Perlengkapan Rumah,4,20000,80000,14000,56000,24000,30.0,Normal
2023-01-29,69,Mini Fan USB,Elektronik,1,25000,25000,18000,18000,7000,28.0,Normal
2023-01-29,69,Mini Fan USB,Elektronik,1,25000,25000,16000,16000,9000,36.0,Normal
2023-01-29,104,Tirai Gorden Jendela,Home & Living,1,75000,75000,55000,55000,20000,26.67,Normal
2023-01-29,79,Pewangi Ruangan,Kecantikan & Perawatan,2,15000,30000,10000,20000,10000,33.33,Normal
2023-01-29,100,Senter LED Waterproof,Elektronik,1,30000,30000,22000,22000,8000,26.67,Normal
2023-01-29,26,Jam Alarm Meja,Elektronik,1,18000,18000,12000,12000,6000,33.33,Normal
2023-01-29,65,Matras Yoga,Edukasi & Hobi,1,45000,45000,33000,33000,12000,26.67,Normal
2023-01-29,63,Benih Cabe Djitu,Perlengkapan Rumah,1,130000,130000,96000,96000,34000,26.15,Normal
2023-01-30,74,Sarung Baju Jas,Hanger & Penyimpanan,6,12000,72000,8000,48000,24000,33.33,Normal
2023-01-30,26,Jam Alarm Meja,Elektronik,3,18000,54000,11000,33000,21000,38.89,Normal
2023-01-30,116,Kabel Data USB A to C,Aksesori Umum,4,15000,60000,11000,44000,16000,26.67,Normal
2023-01-30,84,Masker Wajah Sheet,Kecantikan & Perawatan,9,8000,72000,5000,45000,27000,37.5,Normal
2023-01-30,96,Sepatu Sandal Jepit,Footwear,2,25000,50000,16000,32000,18000,36.0,Normal
2023-01-30,41,Senter LED Senter Senter,Elektronik,4,20000,80000,13000,52000,28000,35.0,Normal
2023-01-30,50,Router WiFi Portabel,Elektronik,1,160000,160000,108000,108000,52000,32.5,Normal
2023-01-30,53,Sarung Bantal 2 pcs,Home & Living,3,25000,75000,18000,54000,21000,28.0,Normal
2023-01-30,58,Dispenser Galon Atas,Alat Rumah Tangga,1,120000,120000,88000,88000,32000,26.67,Normal
2023-01-31,8,Blender Portable,Alat Rumah Tangga,1,75000,75000,56000,56000,19000,25.33,Normal
2023-01-31,70,Lampu Emergency,Elektronik,1,35000,35000,23000,23000,12000,34.29,Normal
2023-01-31,90,Masker Medis 50pcs,Kesehatan,2,25000,50000,18000,36000,14000,28.0,Normal
2023-01-31,50,Router WiFi Portabel,Elektronik,1,160000,160000,114000,114000,46000,28.75,Normal
2023-01-31,67,Stiker Dekorasi Tembok,Perlengkapan Rumah,5,12000,60000,8000,40000,20000,33.33,Normal
2023-01-31,111,Casing HP Softcase,Aksesori Umum,4,15000,60000,11000,44000,16000,26.67,Normal
2023-01-31,114,Kantong HP Anti Air,Aksesori Umum,4,20000,80000,14000,56000,24000,30.0,Normal
2023-01-31,120,Baskom Plastik 10L,Alat Rumah Tangga,3,25000,75000,17000,51000,24000,32.0,Normal
2023-01-31,2,Power Bank 2000mAh,Elektronik,1,35000,35000,25000,25000,10000,28.57,Normal
2023-02-01,32,Celana Pendek Casual,Clothing & Fashion,1,45000,45000,30000,30000,15000,33.33,Normal
2023-02-01,74,Sarung Baju Jas,Hanger & Penyimpanan,6,12000,72000,8000,48000,24000,33.33,Normal
2023-02-01,119,Box Makanan 600ml,Perlengkapan Rumah,8,10000,80000,6000,48000,32000,40.0,Normal
2023-02-02,112,Holder HP Mobil,Aksesori Umum,3,20000,60000,14000,42000,18000,30.0,Normal
2023-02-02,88,Lip Balm,Kecantikan & Perawatan,6,12000,72000,8000,48000,24000,33.33,Normal
2023-02-02,59,Panci Stainless 24cm,Alat Rumah Tangga,1,85000,85000,59000,59000,26000,30.59,Normal
2023-02-02,45,Speaker Bluetooth Mini,Elektronik,1,50000,50000,32000,32000,18000,36.0,Normal
2023-02-02,100,Senter LED Waterproof,Elektronik,2,30000,60000,20000,40000,20000,33.33,Normal
2023-02-02,4,Speaker Mini Bluetooth,Elektronik,1,60000,60000,44000,44000,16000,26.67,Normal
2023-02-03,14,Jam Dinding Digital,Elektronik,2,30000,60000,20000,40000,20000,33.33,Normal
2023-02-03,29,Sabun Cuci Piring Cair,Sembako,6,12000,72000,8000,48000,24000,33.33,Normal
2023-02-03,13,Tempat Makan Plastik,Perlengkapan Rumah,7,10000,70000,6000,42000,28000,40.0,Normal
2023-02-03,54,Gantungan Kunci Logam,Aksesori Umum,23,3000,69000,2000,46000,23000,33.33,Normal
2023-02-03,104,Tirai Gorden Jendela,Home & Living,1,75000,75000,54000,54000,21000,28.0,Normal
2023-02-03,32,Celana Pendek Casual,Clothing & Fashion,1,45000,45000,32000,32000,13000,28.89,Normal
2023-02-03,111,Casing HP Softcase,Aksesori Umum,4,15000,60000,11000,44000,16000,26.67,Normal
2023-02-03,67,Stiker Dekorasi Tembok,Perlengkapan Rumah,6,12000,72000,8000,48000,24000,33.33,Normal
2023-02-04,11,Wajan Penggorengan,Alat Rumah Tangga,1,40000,40000,28000,28000,12000,30.0,Normal
2023-02-04,95,Bandana Couple,Clothing & Fashion,2,15000,30000,11000,22000,8000,26.67,Normal
2023-02-04,11,Wajan Penggorengan,Alat Rumah Tangga,1,40000,40000,27000,27000,13000,32.5,Normal
2023-02-04,52,Charger Wireless,Elektronik,1,55000,55000,35000,35000,20000,36.36,Normal
2023-02-04,36,Kacamata Hitam Fashion,Clothing & Fashion,1,40000,40000,26000,26000,14000,35.0,Normal
2023-02-04,77,Baterai AA isi 4pcs,Sembako,1,25000,25000,17000,17000,8000,32.0,Normal
2023-02-04,90,Masker Medis 50pcs,Kesehatan,1,25000,25000,17000,17000,8000,32.0,Normal
2023-02-04,90,Masker Medis 50pcs,Kesehatan,1,25000,25000,16000,16000,9000,36.0,Normal
2023-02-04,16,Kursi Lipat Ringan,Furniture Ringan,1,70000,70000,45000,45000,25000,35.71,Normal
2023-02-05,27,Penampung Sampah Rumah,Perlengkapan Rumah,1,22000,22000,15000,15000,7000,31.82,Normal
2023-02-05,98,Kipas Angin DC,Elektronik,1,40000,40000,27000,27000,13000,32.5,Normal
2023-02-05,85,Lotion Tubuh,Kecantikan & Perawatan,1,30000,30000,19000,19000,11000,36.67,Normal
2023-02-06,27,Penampung Sampah Rumah,Perlengkapan Rumah,3,22000,66000,14000,42000,24000,36.36,Normal
2023-02-06,39,Tenda Lipat 2 Orang,Outdoor & Travel,1,160000,160000,104000,104000,56000,35.0,Normal
2023-02-06,27,Penampung Sampah Rumah,Perlengkapan Rumah,2,22000,44000,14000,28000,16000,36.36,Normal
2023-02-06,97,Kasur Karpet Lipat,Home & Living,1,90000,90000,66000,66000,24000,26.67,Normal
2023-02-06,1,Lampu LED 5W,Elektronik,4,15000,60000,10000,40000,20000,33.33,Normal
2023-02-06,24,Payung Lipat Transparan,Aksesori Umum,3,25000,75000,16000,48000,27000,36.0,Normal
2023-02-06,76,Kotak Penyimpanan Plastik,Hanger & Penyimpanan,2,30000,60000,19000,38000,22000,36.67,Normal
2023-02-07,117,Power Extension 6 Outlet,Aksesori Umum,1,65000,65000,46000,46000,19000,29.23,Normal
2023-02-07,100,Senter LED Waterproof,Elektronik,2,30000,60000,20000,40000,20000,33.33,Normal
2023-02-07,89,Hand Sanitizer 60ml,Kesehatan,9,10000,90000,6000,54000,36000,40.0,Normal
2023-02-07,99,Speaker Mini Bluetooth,Elektronik,1,50000,50000,35000,35000,15000,30.0,Normal
2023-02-08,46,Earphone In-Ear,Elektronik,3,25000,75000,18000,54000,21000,28.0,Normal
2023-02-08,81,Shampoo Botol,Kecantikan & Perawatan,2,25000,50000,18000,36000,14000,28.0,Normal
2023-02-08,96,Sepatu Sandal Jepit,Footwear,3,25000,75000,17000,51000,24000,32.0,Normal
2023-02-08,69,Mini Fan USB,Elektronik,3,25000,75000,18000,54000,21000,28.0,Normal
2023-02-08,79,Pewangi Ruangan,Kecantikan & Perawatan,4,15000,60000,10000,40000,20000,33.33,Normal
2023-02-08,19,Magic Com Mini,Alat Rumah Tangga,1,130000,130000,85000,85000,45000,34.62,Normal
2023-02-08,61,Piring Plastik Set 10pcs,Perlengkapan Rumah,2,25000,50000,18000,36000,14000,28.0,Normal
2023-02-08,95,Bandana Couple,Clothing & Fashion,4,15000,60000,10000,40000,20000,33.33,Normal
2023-02-09,12,Gantungan Baju Plastik,Perlengkapan Rumah,32,2500,80000,1000,32000,48000,60.0,Normal
2023-02-09,113,Tas Selempang Simple,Aksesori Umum,1,45000,45000,33000,33000,12000,26.67,Normal
2023-02-09,4,Speaker Mini Bluetooth,Elektronik,1,60000,60000,40000,40000,20000,33.33,Normal
2023-02-09,13,Tempat Makan Plastik,Perlengkapan Rumah,9,10000,90000,6000,54000,36000,40.0,Normal
2023-02-09,112,Holder HP Mobil,Aksesori Umum,4,20000,80000,13000,52000,28000,35.0,Normal
2023-02-09,1,Lampu LED 5W,Elektronik,5,15000,75000,10000,50000,25000,33.33,Normal
2023-02-09,76,Kotak Penyimpanan Plastik,Hanger & Penyimpanan,2,30000,60000,19000,38000,22000,36.67,Normal
2023-02-09,110,Dompet Mini Wanita,Aksesori Umum,3,25000,75000,17000,51000,24000,32.0,Normal
2023-02-09,26,Jam Alarm Meja,Elektronik,3,18000,54000,12000,36000,18000,33.33,Normal
2023-02-10,87,Pensil Alis,Kecantikan & Perawatan,8,10000,80000,7000,56000,24000,30.0,Normal
2023-02-10,100,Senter LED Waterproof,Elektronik,2,30000,60000,21000,42000,18000,30.0,Normal
2023-02-10,12,Gantungan Baju Plastik,Perlengkapan Rumah,33,2500,82500,1000,33000,49500,60.0,Normal
2023-02-11,111,Casing HP Softcase,Aksesori Umum,2,15000,30000,9000,18000,12000,40.0,Normal
2023-02-11,37,Sepatu Sneakers Pria,Footwear,1,110000,110000,73000,73000,37000,33.64,Normal
2023-02-11,82,Kondisioner Rambut,Kecantikan & Perawatan,1,25000,25000,17000,17000,8000,32.0,Normal
2023-02-11,10,Panci Teflon 20cm,Alat Rumah Tangga,1,65000,65000,43000,43000,22000,33.85,Normal
2023-02-11,99,Speaker Mini Bluetooth,Elektronik,1,50000,50000,36000,36000,14000,28.0,Normal
2023-02-11,51,Bola Lampu LED 10W,Elektronik,1,20000,20000,13000,13000,7000,35.0,Normal
2023-02-12,47,Smartwatch Basic,Elektronik,1,120000,120000,89000,89000,31000,25.83,Normal
2023-02-12,27,Penampung Sampah Rumah,Perlengkapan Rumah,1,22000,22000,15000,15000,7000,31.82,Normal
2023-02-12,97,Kasur Karpet Lipat,Home & Living,1,90000,90000,59000,59000,31000,34.44,Normal
2023-02-12,39,Tenda Lipat 2 Orang,Outdoor & Travel,1,160000,160000,114000,114000,46000,28.75,Normal
2023-02-12,2,Power Bank 2000mAh,Elektronik,1,35000,35000,23000,23000,12000,34.29,Normal
